tweet_id,retweets,favorites,creation_time
892420643555336193,7108,34218,2017-08-01 16:23:56+00:00
892177421306343426,5353,29671,2017-08-01 00:17:27+00:00
891815181378084864,3524,22346,2017-07-31 00:18:03+00:00
891689557279858688,7301,37373,2017-07-30 15:58:51+00:00
891327558926688256,7853,35715,2017-07-29 16:00:24+00:00
891087950875897856,2636,18035,2017-07-29 00:08:17+00:00
890971913173991426,1689,10493,2017-07-28 16:27:12+00:00
890729181411237888,15987,57523,2017-07-28 00:22:40+00:00
890609185150312448,3663,24845,2017-07-27 16:25:51+00:00
890240255349198849,6174,28298,2017-07-26 15:59:51+00:00
890006608113172480,6231,27341,2017-07-26 00:31:25+00:00
889880896479866881,4222,24888,2017-07-25 16:11:53+00:00
889665388333682689,8460,42575,2017-07-25 01:55:32+00:00
889638837579907072,3762,23935,2017-07-25 00:10:02+00:00
889531135344209921,1901,13504,2017-07-24 17:02:04+00:00
889278841981685760,4499,22370,2017-07-24 00:19:32+00:00
888917238123831296,3808,25940,2017-07-23 00:22:39+00:00
888804989199671297,3590,22735,2017-07-22 16:56:37+00:00
888554962724278272,2913,17556,2017-07-22 00:23:06+00:00
888078434458587136,2938,19377,2017-07-20 16:49:33+00:00
887705289381826560,4586,26934,2017-07-19 16:06:48+00:00
887517139158093824,9962,41232,2017-07-19 03:39:09+00:00
887473957103951883,15212,60916,2017-07-19 00:47:34+00:00
887343217045368832,8927,29959,2017-07-18 16:08:03+00:00
887101392804085760,5054,27299,2017-07-18 00:07:08+00:00
886983233522544640,6418,30759,2017-07-17 16:17:36+00:00
886736880519319552,2672,10621,2017-07-16 23:58:41+00:00
886680336477933568,3784,19988,2017-07-16 20:14:00+00:00
886366144734445568,2666,18790,2017-07-15 23:25:31+00:00
886267009285017600,3,104,2017-07-15 16:51:35+00:00
886258384151887873,5357,24848,2017-07-15 16:17:19+00:00
886054160059072513,93,0,2017-07-15 02:45:48+00:00
885984800019947520,5688,28935,2017-07-14 22:10:11+00:00
885528943205470208,5404,31974,2017-07-13 15:58:47+00:00
